"TeamID","TeamName","FirstD1Season","LastD1Season","bartorvik","scores"
1102,"Air Force",1985,2021,"Air Force","AirForce"
1103,"Akron",1985,2021,"Akron","Akron"
1104,"Alabama",1985,2021,"Alabama","Alabama"
1105,"Alabama A&M",2000,2021,"Alabama A&M","AlabamaA&M"
1112,"Arizona",1985,2021,"Arizona","Arizona"
1116,"Arkansas",1985,2021,"Arkansas","Arkansas"
1119,"Army",1985,2021,"Army","Army"
1120,"Auburn",1985,2021,"Auburn","Auburn"
1122,"Austin Peay",1985,2021,"Austin Peay","AustinPeay"
1124,"Baylor",1985,2021,"Baylor","Baylor"
1125,"Belmont",2000,2021,"Belmont","Belmont"
1127,"Binghamton",2002,2021,"Binghamton","Binghamton"
1130,"Boston College",1985,2021,"Boston College","BostonCollege"
1132,"Bowling Green",1985,2021,"Bowling Green","BowlingGreen"
1133,"Bradley",1985,2021,"Bradley","Bradley"
1136,"Bryant",2009,2021,"Bryant","Bryant"
1137,"Bucknell",1985,2021,"Bucknell","Bucknell"
1138,"Buffalo",1992,2021,"Buffalo","Buffalo"
1139,"Butler",1985,2021,"Butler","Butler"
1140,"BYU",1985,2021,"BYU","BYU"
1142,"Cal Poly",1995,2021,"Cal Poly","CalPolySLO"
1143,"California",1985,2021,"California","California"
1144,"Campbell",1985,2021,"Campbell","Campbell"
1145,"Canisius",1985,2021,"Canisius","Canisius"
1150,"Charlotte",1985,2021,"Charlotte","CharlotteU"
1151,"Chattanooga",1985,2021,"Chattanooga","Chattanooga"
1153,"Cincinnati",1985,2021,"Cincinnati","Cincinnati"
1155,"Clemson",1985,2021,"Clemson","Clemson"
1159,"Colgate",1985,2021,"Colgate","Colgate"
1160,"Colorado",1985,2021,"Colorado","Colorado"
1163,"Connecticut",1985,2021,"Connecticut","Connecticut"
1166,"Creighton",1985,2021,"Creighton","Creighton"
1172,"Davidson",1985,2021,"Davidson","Davidson"
1173,"Dayton",1985,2021,"Dayton","Dayton"
1174,"Delaware",1985,2021,"Delaware","Delaware"
1176,"Denver",1999,2021,"Denver","Denver"
1177,"DePaul",1985,2021,"DePaul","Depaul"
1178,"Detroit",1985,2021,"Detroit","Detroit"
1179,"Drake",1985,2021,"Drake","Drake"
1180,"Drexel",1985,2021,"Drexel","Drexel"
1181,"Duke",1985,2021,"Duke","Duke"
1182,"Duquesne",1985,2021,"Duquesne","Duquesne"
1187,"East Carolina",1985,2021,"East Carolina","EastCarolina"
1189,"Elon",2000,2021,"Elon","Elon"
1191,"Evansville",1985,2021,"Evansville","Evansville"
1193,"Fairfield",1985,2021,"Fairfield","Fairfield"
1196,"Florida",1985,2021,"Florida","Florida"
1197,"Florida A&M",1985,2021,"Florida A&M","FloridaA&M"
1200,"Fordham",1985,2021,"Fordham","Fordham"
1202,"Furman",1985,2021,"Furman","Furman"
1205,"Gardner Webb",2003,2021,"Gardner Webb","GardnerWebb"
1206,"George Mason",1985,2021,"George Mason","GeorgeMason"
1207,"Georgetown",1985,2021,"Georgetown","Georgetown"
1208,"Georgia",1985,2021,"Georgia","Georgia"
1210,"Georgia Tech",1985,2021,"Georgia Tech","GeorgiaTech"
1211,"Gonzaga",1985,2021,"Gonzaga","Gonzaga"
1213,"Grand Canyon",2014,2021,"Grand Canyon","GrandCanyon"
1214,"Hampton",1996,2021,"Hampton","Hampton"
1216,"Hartford",1985,2021,"Hartford","Hartford"
1218,"Hawaii",1985,2021,"Hawaii","Hawaii"
1219,"High Point",2000,2021,"High Point","HighPoint"
1220,"Hofstra",1985,2021,"Hofstra","Hofstra"
1221,"Holy Cross",1985,2021,"Holy Cross","HolyCross"
1222,"Houston",1985,2021,"Houston","Houston"
1224,"Howard",1985,2021,"Howard","Howard"
1225,"Idaho",1985,2021,"Idaho","Idaho"
1228,"Illinois",1985,2021,"Illinois","Illinois"
1230,"Incarnate Word",2014,2021,"Incarnate Word","IncarnateWord"
1231,"Indiana",1985,2021,"Indiana","Indiana"
1233,"Iona",1985,2021,"Iona","Iona"
1234,"Iowa",1985,2021,"Iowa","Iowa"
1237,"IUPUI",1999,2021,"IUPUI","IUPUI"
1239,"Jacksonville",1985,2021,"Jacksonville","Jacksonville"
1241,"James Madison",1985,2021,"James Madison","JamesMadison"
1242,"Kansas",1985,2021,"Kansas","Kansas"
1246,"Kentucky",1985,2021,"Kentucky","Kentucky"
1247,"La Salle",1985,2021,"La Salle","LaSalle"
1248,"Lafayette",1985,2021,"Lafayette","Lafayette"
1249,"Lamar",1985,2021,"Lamar","Lamar"
