"TeamID","TeamName","FirstD1Season","LastD1Season","bartorvik"
1101,"Abilene Chr",2014,2021,"Abilene Christian"
1102,"Air Force",1985,2021,"Air Force"
1103,"Akron",1985,2021,"Akron"
1104,"Alabama",1985,2021,"Alabama"
1105,"Alabama A&M",2000,2021,"Alabama A&M"
1106,"Alabama St",1985,2021,"Alabama St."
1107,"SUNY Albany",2000,2021,"Albany"
1108,"Alcorn St",1985,2021,"Alcorn St."
1110,"American Univ",1985,2021,"American"
1111,"Appalachian St",1985,2021,"Appalachian St."
1112,"Arizona",1985,2021,"Arizona"
1113,"Arizona St",1985,2021,"Arizona St."
1114,"Ark Little Rock",1985,2021,"Little Rock"
1115,"Ark Pine Bluff",1999,2021,"Arkansas Pine Bluff"
1116,"Arkansas",1985,2021,"Arkansas"
1117,"Arkansas St",1985,2021,"Arkansas St."
1119,"Army",1985,2021,"Army"
1120,"Auburn",1985,2021,"Auburn"
1122,"Austin Peay",1985,2021,"Austin Peay"
1123,"Ball St",1985,2021,"Ball St."
1124,"Baylor",1985,2021,"Baylor"
1125,"Belmont",2000,2021,"Belmont"
1127,"Binghamton",2002,2021,"Binghamton"
1129,"Boise St",1985,2021,"Boise St."
1130,"Boston College",1985,2021,"Boston College"
1131,"Boston Univ",1985,2021,"Boston University"
1132,"Bowling Green",1985,2021,"Bowling Green"
1133,"Bradley",1985,2021,"Bradley"
1136,"Bryant",2009,2021,"Bryant"
1137,"Bucknell",1985,2021,"Bucknell"
1138,"Buffalo",1992,2021,"Buffalo"
1139,"Butler",1985,2021,"Butler"
1140,"BYU",1985,2021,"BYU"
1141,"C Michigan",1985,2021,"Central Michigan"
1142,"Cal Poly",1995,2021,"Cal Poly"
1143,"California",1985,2021,"California"
1144,"Campbell",1985,2021,"Campbell"
1145,"Canisius",1985,2021,"Canisius"
1146,"Cent Arkansas",2007,2021,"Central Arkansas"
1148,"Central Conn",1987,2021,"Central Connecticut"
1149,"Charleston So",1985,2021,"Charleston Southern"
1150,"Charlotte",1985,2021,"Charlotte"
1151,"Chattanooga",1985,2021,"Chattanooga"
1152,"Chicago St",1985,2021,"Chicago St."
1153,"Cincinnati",1985,2021,"Cincinnati"
1154,"Citadel",1985,2021,"The Citadel"
1155,"Clemson",1985,2021,"Clemson"
1156,"Cleveland St",1985,2021,"Cleveland St."
1157,"Coastal Car",1987,2021,"Coastal Carolina"
1158,"Col Charleston",1992,2021,"College of Charleston"
1159,"Colgate",1985,2021,"Colgate"
1160,"Colorado",1985,2021,"Colorado"
1161,"Colorado St",1985,2021,"Colorado St."
1163,"Connecticut",1985,2021,"Connecticut"
1164,"Coppin St",1986,2021,"Coppin St."
1166,"Creighton",1985,2021,"Creighton"
1167,"CS Bakersfield",2008,2021,"Cal St. Bakersfield"
1168,"CS Fullerton",1985,2021,"Cal St. Fullerton"
1169,"CS Northridge",1991,2021,"Cal St. Northridge"
1170,"CS Sacramento",1992,2021,"Sacramento St."
1172,"Davidson",1985,2021,"Davidson"
1173,"Dayton",1985,2021,"Dayton"
1174,"Delaware",1985,2021,"Delaware"
1175,"Delaware St",1985,2021,"Delaware St."
1176,"Denver",1999,2021,"Denver"
1177,"DePaul",1985,2021,"DePaul"
1178,"Detroit",1985,2021,"Detroit"
1179,"Drake",1985,2021,"Drake"
1180,"Drexel",1985,2021,"Drexel"
1181,"Duke",1985,2021,"Duke"
1182,"Duquesne",1985,2021,"Duquesne"
1183,"E Illinois",1985,2021,"Eastern Illinois"
1184,"E Kentucky",1985,2021,"Eastern Kentucky"
1185,"E Michigan",1985,2021,"Eastern Michigan"
