"TeamID","TeamName","FirstD1Season","LastD1Season","bartorvik","scores","scores2","scores3"
1102,"Air Force",1985,2021,"Air Force","AirForce","none","none"
1103,"Akron",1985,2021,"Akron","Akron","none","none"
1104,"Alabama",1985,2021,"Alabama","Alabama","none","none"
1105,"Alabama A&M",2000,2021,"Alabama A&M","AlabamaA&M","AlabamaAM","none"
1112,"Arizona",1985,2021,"Arizona","Arizona","none","none"
1116,"Arkansas",1985,2021,"Arkansas","Arkansas","none","none"
1119,"Army",1985,2021,"Army","Army","none","none"
1120,"Auburn",1985,2021,"Auburn","Auburn","none","none"
1122,"Austin Peay",1985,2021,"Austin Peay","AustinPeay","none","none"
1124,"Baylor",1985,2021,"Baylor","Baylor","none","none"
1125,"Belmont",2000,2021,"Belmont","Belmont","none","none"
1127,"Binghamton",2002,2021,"Binghamton","Binghamton","none","none"
1130,"Boston College",1985,2021,"Boston College","BostonCollege","none","none"
1132,"Bowling Green",1985,2021,"Bowling Green","BowlingGreen","none","none"
1133,"Bradley",1985,2021,"Bradley","Bradley","none","none"
1136,"Bryant",2009,2021,"Bryant","Bryant","none","none"
1137,"Bucknell",1985,2021,"Bucknell","Bucknell","none","none"
1138,"Buffalo",1992,2021,"Buffalo","Buffalo","none","none"
1139,"Butler",1985,2021,"Butler","Butler","none","none"
1140,"BYU",1985,2021,"BYU","BYU","none","none"
1142,"Cal Poly",1995,2021,"Cal Poly","CalPolySLO","none","none"
1143,"California",1985,2021,"California","California","none","none"
1144,"Campbell",1985,2021,"Campbell","Campbell","none","none"
1145,"Canisius",1985,2021,"Canisius","Canisius","none","none"
1150,"Charlotte",1985,2021,"Charlotte","CharlotteU","none","none"
1151,"Chattanooga",1985,2021,"Chattanooga","Chattanooga","none","none"
1153,"Cincinnati",1985,2021,"Cincinnati","Cincinnati","none","none"
1155,"Clemson",1985,2021,"Clemson","Clemson","none","none"
1159,"Colgate",1985,2021,"Colgate","Colgate","none","none"
1160,"Colorado",1985,2021,"Colorado","Colorado","none","none"
1163,"Connecticut",1985,2021,"Connecticut","Connecticut","none","none"
1166,"Creighton",1985,2021,"Creighton","Creighton","none","none"
1172,"Davidson",1985,2021,"Davidson","Davidson","none","none"
1173,"Dayton",1985,2021,"Dayton","Dayton","none","none"
1174,"Delaware",1985,2021,"Delaware","Delaware","none","none"
1176,"Denver",1999,2021,"Denver","Denver","DenverU","none"
1177,"DePaul",1985,2021,"DePaul","Depaul","none","none"
1178,"Detroit",1985,2021,"Detroit","Detroit","DetroitU","none"
1179,"Drake",1985,2021,"Drake","Drake","none","none"
1180,"Drexel",1985,2021,"Drexel","Drexel","none","none"
1181,"Duke",1985,2021,"Duke","Duke","none","none"
1182,"Duquesne",1985,2021,"Duquesne","Duquesne","none","none"
1187,"East Carolina",1985,2021,"East Carolina","EastCarolina","none","none"
1189,"Elon",2000,2021,"Elon","Elon","none","none"
1191,"Evansville",1985,2021,"Evansville","Evansville","none","none"
1193,"Fairfield",1985,2021,"Fairfield","Fairfield","none","none"
1196,"Florida",1985,2021,"Florida","Florida","none","none"
1197,"Florida A&M",1985,2021,"Florida A&M","FloridaA&M","FloridaAM","none"
1200,"Fordham",1985,2021,"Fordham","Fordham","none","none"
1202,"Furman",1985,2021,"Furman","Furman","none","none"
1205,"Gardner Webb",2003,2021,"Gardner Webb","GardnerWebb","none","none"
1206,"George Mason",1985,2021,"George Mason","GeorgeMason","none","none"
1207,"Georgetown",1985,2021,"Georgetown","Georgetown","none","none"
1208,"Georgia",1985,2021,"Georgia","Georgia","none","none"
