"Day","Home","Visitor","Hscore","Vscore","Neutral","Diff"
1,1462,1324,101,49,0,52
1,1275,1315,81,67,0,14
1,1139,1444,66,62,0,4
1,1423,1441,76,98,0,-22
1,1243,1179,70,80,0,-10
1,1268,1330,85,67,0,18
1,1344,1193,97,56,0,41
1,1133,1405,61,59,0,2
1,1426,1329,68,75,0,-7
1,1257,1191,79,44,0,35
1,1276,1132,96,82,0,14
1,1365,1226,62,49,0,13
1,1334,1415,66,60,0,6
1,1297,1123,74,73,0,1
1,1314,1102,79,60,0,19
1,1246,1287,81,45,0,36
1,1281,1331,91,64,0,27
1,1102,1227,61,65,0,-4
1,1375,1102,68,66,0,2
1,1385,1389,76,75,0,1
1,1277,1185,83,67,0,16
1,1160,1102,84,61,0,23
1,1278,1453,99,69,0,30
1,1231,1399,89,59,0,30
1,1104,1102,81,57,0,24
1,1400,1410,91,55,0,36
1,1210,1209,120,123,0,-3
1,1458,1183,77,67,0,10
1,1337,1414,86,72,0,14
1,1361,1417,73,58,0,15
1,1424,1286,78,91,0,-13
1,1425,1465,95,87,0,8
1,1258,1381,85,83,0,2
1,1101,1102,70,47,1,23
1,1303,1122,66,72,1,-6
1,1345,1251,77,64,1,13
1,1102,1155,42,53,1,-11
1,1130,1437,67,76,1,-9
1,1387,1188,89,52,0,37
1,1305,1295,62,48,0,14
1,1348,1113,88,94,0,-6
1,1102,1325,61,84,0,-23
1,1333,1143,71,63,0,8
1,1326,1229,94,67,0,27
1,1438,1406,89,54,0,35
1,1339,1370,72,84,0,-12
1,1272,1388,73,56,1,17
1,1320,1443,87,93,1,-6
1,1355,1452,71,79,1,-8
1,1433,1429,85,69,1,16
1,1298,1203,78,71,0,7
1,1288,1291,55,62,0,-7
1,1353,1357,86,63,0,23
1,1439,1347,77,62,0,15
1,1304,1270,102,55,0,47
1,1114,1341,71,66,0,5
1,1102,1102,61,81,0,-20
1,1222,1249,89,45,0,44
1,1228,1102,122,60,0,62
1,1412,1108,99,50,0,49
1,1448,1175,111,51,0,60
1,1234,1102,97,67,0,30
1,1346,1102,84,66,0,18
1,1207,1420,70,62,0,8
1,1316,1184,67,80,0,-13
1,1403,1102,101,58,0,43
1,1195,1102,65,56,0,9
1,1338,1384,70,80,0,-10
1,1236,1368,67,63,0,4
1,1172,1219,82,73,0,9
1,1116,1102,142,62,0,80
1,1395,1223,69,45,0,24
1,1163,1102,102,75,0,27
1,1374,1358,97,67,0,30
1,1213,1212,69,53,0,16
1,1301,1149,95,61,0,34
1,1450,1411,56,52,0,4
1,1413,1311,93,101,0,-8
1,1266,1115,99,57,0,42
1,1262,1362,76,68,0,8
2,1462,1133,51,50,0,1
2,1324,1405,53,80,0,-27
2,1242,1211,90,102,0,-12
2,1385,1247,82,65,0,17
2,1386,1120,91,96,0,-5
2,1292,1303,59,60,1,-1
